3 100000
0 0.001 1 0.001 0 0
0 60.001 -1.39998 60.001 -nan -nan
0 60.101 -1.40398 60.101 -nan -nan
0 60.201 -1.40798 60.201 -nan -nan
0 60.301 -1.41198 60.301 -nan -nan
0 60.401 -1.41598 60.401 -nan -nan
0 60.501 -1.41998 60.501 -nan -nan
0 60.601 -1.42398 60.601 -nan -nan
0 60.701 -1.42798 60.701 -nan -nan
0 60.801 -1.43198 60.801 -nan -nan
0 60.901 -1.43598 60.901 -nan -nan
0 61.001 -1.43998 61.001 -nan -nan
0 61.101 -1.44398 61.101 -nan -nan
0 61.201 -1.44798 61.201 -nan -nan
0 61.301 -1.45198 61.301 -nan -nan
